epoch,acc,loss,val_acc,val_loss
0,0.046875,3.0471295913060508,0.04812834248504537,2.93898089429274
1,0.125,2.8881579836209617,0.19786096288558633,2.7845669041342913
2,0.19270833333333334,2.7531072795391083,0.21925133737650784,2.701270626190512
3,0.234375,2.6654820144176483,0.3048128346230257,2.644341851938217
4,0.2265625,2.740707198778788,0.3048128343839696,2.6075673371075307
5,0.3098958333333333,2.6087301870187125,0.3101604285246548,2.567211007051927
6,0.3125,2.5543613930543265,0.3155080219481718,2.517184861203566
7,0.3125,2.530785322189331,0.3368983964390933,2.4670440698052474
8,0.3203125,2.4824710190296173,0.3422459897032396,2.413463705363758
9,0.3151041666666667,2.430054853359858,0.3529411771877564,2.350220599595238
10,0.3463541666666667,2.3500316540400186,0.37433155128025114,2.2840932276159682
11,0.3723958333333333,2.3165147652228675,0.4064171129369481,2.2167279478062922
12,0.4088541666666667,2.1741206546624503,0.4010695193540604,2.144595360692172
13,0.3541666666666667,2.185601696372032,0.42245989352624047,2.0738681797037786
14,0.3958333333333333,2.0663067350784936,0.43315508077170123,2.0166599967262964
15,0.4270833333333333,2.0016945203145347,0.4545454554219934,1.942335209425758
16,0.4505208333333333,1.9258300513029099,0.45454545526262274,1.8586778599310687
17,0.4609375,1.8684203277031581,0.48128342317706124,1.7913912139474388
18,0.5026041666666666,1.7623443802197774,0.540106952827882,1.7293801967472953
19,0.5390625,1.7207308957974117,0.5721925144845789,1.65001070690665
20,0.5989583333333334,1.5711662471294403,0.6042780756631637,1.594398397175386
21,0.6197916666666666,1.5258585065603256,0.5775401075893545,1.511188596008933
22,0.6223958333333334,1.4519457469383876,0.6363636366823778,1.4383845469530891
23,0.6666666666666666,1.3928827494382858,0.7112299470021763,1.374394311943156
24,0.6822916666666666,1.3162835439046223,0.6898395723518841,1.319316502242165
25,0.7317708333333334,1.2458051095406215,0.7326203222899513,1.261651065658758
26,0.7135416666666666,1.223422147333622,0.7540106956652779,1.2143803422145028
27,0.7447916666666666,1.1664855976899464,0.7219251333710982,1.1413166336516007
28,0.7708333333333334,1.0210738678773243,0.7379679147572441,1.1216253829512366
29,0.7317708333333334,1.021280514697234,0.7165775412225468,1.09252105995933
30,0.765625,0.947193423906962,0.759358288451312,1.0244070741741416
31,0.8255208333333334,0.822386845946312,0.7326203202181322,0.9913243012313537
