店舗,緯度,経度
osaka_A2701_A270103_27003229,34.711231,135.51115
osaka_A2701_A270103_27003230,34.711231,135.51115
osaka_A2701_A270103_27003383,34.710253,135.507705
osaka_A2701_A270103_27003763,34.693805,135.517311
osaka_A2701_A270103_27003769,34.697106,135.51157
osaka_A2701_A270103_27004204,34.7059,135.511919
osaka_A2701_A270103_27004332,34.708892,135.51155
osaka_A2701_A270103_27004358,34.70225,135.510303
osaka_A2701_A270103_27004399,34.706623,135.511233
osaka_A2701_A270103_27004401,34.707562,135.513871
osaka_A2701_A270103_27004477,34.705519,135.511937
osaka_A2701_A270103_27005842,34.705844,135.511891
osaka_A2701_A270103_27006641,34.707804,135.511394
osaka_A2701_A270103_27007203,34.705927,135.511622
osaka_A2701_A270103_27007840,34.709642,135.510978
osaka_A2701_A270103_27007885,34.700104,135.50965
osaka_A2701_A270103_27009169,34.707323,135.512803
osaka_A2701_A270103_27009941,34.695469,135.511573
osaka_A2701_A270103_27010824,34.705473,135.511686
osaka_A2701_A270103_27011477,34.70655,135.511236
osaka_A2701_A270103_27011685,34.697341,135.508245
osaka_A2701_A270103_27011890,34.6985,135.511973
osaka_A2701_A270103_27011969,34.706754,135.511932
osaka_A2701_A270103_27012484,34.695784,135.511639
osaka_A2701_A270103_27012753,34.707362,135.513208
osaka_A2701_A270103_27013555,34.698763,135.511808
osaka_A2701_A270103_27018067,34.704148,135.511319
osaka_A2701_A270103_27018753,34.710012,135.512676
osaka_A2701_A270103_27019627,34.705545,135.51167
osaka_A2701_A270103_27020458,34.707982,135.512201
osaka_A2701_A270103_27020801,34.708405,135.511905
osaka_A2701_A270103_27020806,34.697839,135.518326
osaka_A2701_A270103_27023038,34.706824,135.511499
osaka_A2701_A270103_27040987,34.699357,135.512715
osaka_A2701_A270103_27041018,34.703489,135.511265
osaka_A2701_A270103_27041620,34.70686,135.512305
osaka_A2701_A270103_27042046,34.699967,135.512766
osaka_A2701_A270103_27042439,34.707144,135.512075
osaka_A2701_A270103_27044987,34.705754,135.507669
osaka_A2701_A270103_27053555,34.713236,135.50551
osaka_A2701_A270103_27055818,34.69652,135.51164
osaka_A2701_A270103_27056327,34.709892,135.511136
osaka_A2701_A270103_27056367,34.707368,135.506546
osaka_A2701_A270103_27060137,34.699615,135.506597
osaka_A2701_A270103_27061014,34.705105,135.511516
osaka_A2701_A270103_27061676,34.695242,135.507835
osaka_A2701_A270103_27062565,34.70754,135.509893
osaka_A2701_A270103_27063993,34.706143,135.510482
osaka_A2701_A270103_27064698,34.707079,135.512773
osaka_A2701_A270103_27065828,34.703303,135.511666
osaka_A2701_A270103_27068884,34.69704,135.514254
osaka_A2701_A270103_27071749,34.70141,135.511219
osaka_A2701_A270103_27074457,34.708178,135.511042
osaka_A2701_A270103_27076635,34.712221,135.510234
osaka_A2701_A270103_27076702,34.714015,135.510869
osaka_A2701_A270103_27077078,34.706078,135.511228
osaka_A2701_A270103_27077316,34.704534,135.511836
osaka_A2701_A270103_27077443,34.703441,135.512766
osaka_A2701_A270103_27079346,34.70844,135.512949
osaka_A2701_A270103_27080059,34.69639,135.505363
osaka_A2701_A270103_27080941,34.710098,135.512387
osaka_A2701_A270103_27081764,34.692706,135.515725
osaka_A2701_A270103_27082162,34.695624,135.511688
osaka_A2701_A270103_27083702,34.706234,135.511228
osaka_A2701_A270103_27083921,34.695712,135.51005
osaka_A2701_A270103_27086717,34.698627,135.51295
osaka_A2701_A270103_27087731,34.697106,135.51157
osaka_A2701_A270103_27087911,34.696838,135.505101            
osaka_A2701_A270103_27088188,34.700533,135.511293
osaka_A2701_A270103_27088273,34.705203,135.51214
osaka_A2701_A270103_27091695,34.700525,135.511464
osaka_A2701_A270103_27094106,34.706028,135.511081
osaka_A2701_A270103_27094256,34.697756,135.503901
osaka_A2701_A270103_27099481,34.706209,135.511854
osaka_A2701_A270103_27101127,34.697444,135.508081
osaka_A2701_A270103_27106055,34.709644,135.511077
osaka_A2701_A270103_27110877,34.712823,135.510357
osaka_A2701_A270103_27112474,34.694877,135.511935
osaka_A2701_A270103_27113697,34.708376,135.5119
osaka_A2701_A270103_27118669,34.699794,135.510737
osaka_A2701_A270104_27058615,34.683237,135.514239
osaka_A2701_A270104_27062194,34.682515,135.51214
osaka_A2701_A270104_27064588,34.684246,135.512729
osaka_A2701_A270104_27072330,34.694877,135.511935
osaka_A2701_A270104_27074662,34.687279,135.517665
osaka_A2701_A270104_27075434,34.686233,135.515558
osaka_A2701_A270104_27076165,34.688092,135.516768
osaka_A2701_A270104_27081196,34.685241,135.514732
osaka_A2701_A270104_27081491,34.684261,135.512913
osaka_A2701_A270104_27086725,34.688108,135.516972
osaka_A2701_A270104_27088994,34.684033,135.514369
osaka_A2701_A270104_27092793,34.682822,135.515851
osaka_A2701_A270104_27094540,34.685294,135.517082
osaka_A2701_A270104_27097328,34.690115,135.516403
osaka_A2701_A270104_27104366,34.682927,135.516891
osaka_A2701_A270105_27001084,34.676132,135.483751
osaka_A2701_A270105_27004696,34.677047,135.487029
osaka_A2701_A270105_27017829,34.672951,135.483539
osaka_A2701_A270105_27041650,34.679423,135.487432
osaka_A2701_A270105_27042868,34.67301,135.490239
osaka_A2701_A270105_27044060,34.680493,135.486907
osaka_A2701_A270105_27049938,34.680034,135.489134
osaka_A2701_A270105_27061506,34.683286,135.485407
osaka_A2701_A270105_27065090,34.684993,135.48942
osaka_A2701_A270105_27073357,34.684913,135.489024
osaka_A2701_A270105_27075622,34.682325,135.486397
osaka_A2701_A270105_27085952,34.683132,135.485274
osaka_A2701_A270105_27095877,34.683286,135.485407
osaka_A2701_A270106_27000068,34.684525,135.508357
osaka_A2701_A270106_27000071,34.686024,135.501529
osaka_A2701_A270106_27001073,34.685534,135.507111
